ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,1,1,169,175,7,7,provisional,115.436256,2.7839697937603063,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,116.19718579376031,0.5393160641116717,3.7617446073259964,6,0.6269574345543327,0.4071489777862176,173
0,1,2,169,175,7,7,provisional,122.997337,4.60148967356082,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,123.53065067356081,0.371481260011156,5.636016899008005,6,0.9393361498346674,0.33651550725951734,173
0,1,3,169,175,7,7,provisional,114.732079,2.726183510861688,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,115.92483051086168,0.4916293073265816,11.600235886709987,6,1.9333726477849977,0.3446287715509755,173
0,1,4,169,175,7,7,provisional,130.186249,1.1784278285991832,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.30879882859918,0.27621814845319237,11.106101054687299,6,1.8510168424478832,0.3406097718979091,173
0,1,5,169,175,7,7,provisional,121.228859,1.5473109145160038,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,121.65042991451601,0.3696358911597418,6.666939747277545,6,1.1111566245462574,0.3817354804210534,173
0,1,6,169,175,7,7,provisional,126.862091,1.7741378391380636,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,127.44293416086194,0.29249665422578325,12.71551944659694,6,2.1192532410994898,0.32529293799899545,173
0,1,7,169,175,7,7,provisional,123.639206,5.692611996199616,,,,large_chi2_ndf,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,122.10137900380039,0.32307764823366764,49.437883046213145,6,8.239647174368857,0.45065424201316856,173
0,1,8,169,175,7,7,provisional,127.904938,2.0159921813451263,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.28510418134513,0.1978679867963482,25.901207534593716,6,4.316867922432286,0.3311391172627866,173
0,1,9,169,175,7,7,provisional,125.326775,1.6304136868984216,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,125.49557968689842,0.26599747318692735,7.973722063782877,6,1.3289536772971462,0.3652524002813656,173
0,1,10,169,175,7,7,provisional,136.78241,2.1546696321063905,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.81261363210638,0.20327898635449376,13.490930876861885,6,2.248488479476981,0.31003708684796166,173
0,1,11,169,175,7,7,provisional,136.574219,0.6503421635803193,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.50030216358033,0.235574659489269,1.0332106597320032,6,0.17220177662200054,0.3194506730240563,173
0,1,12,169,175,7,7,provisional,138.424942,1.3483824190343228,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.35509358096567,0.21630080564971274,7.764841341958028,6,1.2941402236596713,0.3133102507638183,173
0,1,13,169,175,7,7,provisional,137.304138,0.9554267145849735,,,,,cracz,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.365048714585,0.23062301426452358,3.206811255151391,6,0.5344685425252319,0.3336252222427697,173
