period_start,period_end,ew,pp,tt,calibration_mpv,constant_error,offset,status,qa_flag,source_qa,segment_reason,calibration_source,source_artifact,notes
162,168,0,2,4,129.59378045226075,0.18835954980360958,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,5,131.88163679233043,0.18329952673979846,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,6,129.99641982635805,0.16920865520470663,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,7,129.99962252746428,0.17145389280206913,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,8,130.37077842549294,0.15877362305506337,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,9,131.64382444345168,0.15508995282431598,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,10,137.3031528078675,0.18246572101534522,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,11,138.52199871507477,0.18335033955867694,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,12,137.9818550673587,0.1829349858480065,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,13,138.13966368789525,0.19168795435679856,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,14,138.260919618046,0.17771008461867074,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,15,137.6965784410401,0.1861221697853002,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,16,135.82245659132647,0.17823208771563703,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,17,136.30482914677677,0.1755137679410276,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,18,134.5101594322385,0.1809428877796189,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,19,133.9246534965205,0.18399613683819696,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,20,137.11311220820429,0.1848187681758989,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,21,133.84637211915384,0.18393674172222124,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,22,135.51038774148074,0.1767128169649666,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,23,134.2851496030889,0.18607986382739225,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,24,136.73444403896977,0.18765430407004605,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,25,132.40499229606195,0.18426531485973538,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,26,138.0376445236793,0.18722924486605672,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,27,134.7656108011438,0.18470458764600692,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,28,137.33006659948023,0.2030977723140432,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,29,131.69605507205026,0.1985276258576994,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,30,134.86043176611412,0.19421819178615643,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,2,31,132.87248495005764,0.20450370863464998,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,1,130.7607063670496,0.2868764466424251,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,2,127.28493437940186,0.25481474233012336,0,provisional,large_chi2_ndf,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
162,168,0,3,3,128.52740600943199,0.2543166248100107,0,provisional,,data/derived/qa_162_168_review_v3/period_qa.csv,,period_qa,,diagnostic_only; no_auto_accept; no_auto_split
