day,ew,pp,tt,mpv,mpv_error,auto_flag,source,source_stage,source_file,in_primary_range
176,0,2,21,135.000961,0.522439,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,22,136.902802,0.507087,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,23,135.138168,0.561077,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,24,137.300797,0.564921,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,25,134.725067,0.562163,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,26,139.206253,0.548167,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,27,135.769455,0.554179,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,28,138.242264,0.611446,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,29,133.750748,0.613962,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,30,137.610641,0.616653,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,2,31,134.071152,0.613483,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,1,132.176102,0.945611,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,2,130.236526,0.961182,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,3,129.403992,0.738846,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,4,132.342743,0.57191,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,5,131.996445,0.499641,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,6,132.959167,0.512514,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,7,128.641373,0.485113,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,8,130.47171,0.48586,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,9,131.229233,0.498437,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,10,138.608231,0.54996,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,11,139.134201,0.545175,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,12,137.687576,0.540517,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,13,136.321335,0.558112,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,14,137.216095,0.503498,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,15,137.060715,0.535359,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,16,137.911789,0.523967,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,17,137.681732,0.533032,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,18,135.349838,0.532581,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,19,136.36705,0.554671,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,20,132.774445,0.544988,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,21,135.348404,0.533817,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,22,136.021606,0.574703,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,23,135.532074,0.529984,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,24,136.889282,0.597369,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,25,137.678864,0.603966,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,26,137.74707,0.608578,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,27,139.51033,0.612894,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,28,137.033997,0.695571,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,29,133.881577,0.623786,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,30,135.110992,0.735952,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,3,31,134.127792,0.661323,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,1,138.705688,0.680894,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,2,129.482391,0.6492,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,3,133.79628,0.61943,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,4,132.610062,0.5841,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,5,134.52327,0.524112,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,6,131.500275,0.522251,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,7,133.809418,0.469488,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,8,133.413086,0.460967,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,9,131.766846,0.436429,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,10,138.803833,0.525099,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,11,139.933197,0.50126,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,12,139.782059,0.58859,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,13,135.580521,0.556836,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,14,140.556778,0.622121,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,15,138.5439,0.564867,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,16,137.2276,0.509,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,17,136.017212,0.488077,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,18,138.099884,0.50869,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,19,136.834427,0.491223,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,20,136.799255,0.509717,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,21,135.461273,0.52332,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,22,135.849075,0.505769,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,23,135.331879,0.480323,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,24,140.450317,0.529305,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,4,25,135.156342,0.524534,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
