day,ew,pp,tt,manual_mpv,manual_mpv_error,auto_flag,source,source_stage,source_file
185,1,6,1,55.530262,0.331301,not_flagged,eloyd,manual_refit,RefitWork.txt
185,1,8,3,125.220795,0.96637,not_flagged,eloyd,manual_refit,RefitWork.txt
185,1,12,1,126.810524,1.682479,not_flagged,eloyd,manual_refit,RefitWork.txt
185,1,12,2,130.001495,1.198929,not_flagged,eloyd,manual_refit,RefitWork.txt
185,1,12,3,129.34256,0.943683,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,1,1,113.936501,0.734872,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,1,2,124.098427,0.478605,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,1,3,114.501732,0.772508,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,1,5,122.047554,0.504841,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,1,7,120.894035,0.385233,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,6,1,126.510658,0.617589,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,6,2,124.290215,0.662142,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,6,3,126.938843,0.538677,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,6,5,125.551888,0.462241,not_flagged,eloyd,manual_refit,RefitWork.txt
186,0,7,3,128.01207,0.422748,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,1,6,0.0,0.0,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,2,10,0.0,0.0,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,3,1,124.397072,0.561362,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,5,3,130.21817,0.454847,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,6,1,55.42474,0.174758,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,8,3,123.076378,0.46267,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,12,1,131.453415,0.560487,not_flagged,eloyd,manual_refit,RefitWork.txt
186,1,12,3,127.213806,0.435492,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,1,1,113.812256,1.119845,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,1,2,123.571243,0.777089,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,1,3,116.589684,1.098326,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,1,5,122.038506,0.715142,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,1,7,120.605659,0.604521,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,6,1,126.843132,0.968169,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,6,2,123.180664,0.906142,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,6,3,124.805176,0.753246,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,6,5,125.130447,0.686079,not_flagged,eloyd,manual_refit,RefitWork.txt
189,0,7,3,131.32309,0.644144,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,1,6,0.0,0.0,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,2,10,0.0,0.0,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,3,1,123.342697,0.849839,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,5,2,127.290489,0.642574,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,5,3,129.596252,0.702253,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,6,1,55.199959,0.277066,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,8,3,122.560539,0.762639,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,12,1,128.871506,0.791388,not_flagged,eloyd,manual_refit,RefitWork.txt
189,1,12,2,128.203964,0.63622,not_flagged,eloyd,manual_refit,RefitWork.txt
179,0,6,2,116.311577,1.289942,not_flagged,ding,manual_refit,NmipConstantsFix.txt
166,1,2,23,131.714539,0.634996,not_flagged,yuno,manual_correction,NmipConstantsDay162_168_changed.txt
