day,ew,pp,tt,reference_mpv,reference_mpv_error,auto_flag,source,source_stage,source_file,period_start,period_end
169,0,3,3,131.221631,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,4,133.397474,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,5,131.873154,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,6,133.239359,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,7,130.259328,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,8,131.172431,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,9,132.141474,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,10,139.384587,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,11,141.33671,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,12,139.468098,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,13,138.875314,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,14,138.906635,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,15,138.989066,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,16,138.861025,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,17,140.278341,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,18,137.364451,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,19,138.366595,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,20,135.106793,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,21,137.05725,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,22,138.419159,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,23,138.391451,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,24,139.403408,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,25,139.031159,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,26,138.928078,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,27,140.992585,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,28,140.213533,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,29,137.267048,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,3,30,137.781624,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
