ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,1,1,176,182,7,7,provisional,108.796722,5.312030029877619,,176;177;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,108.04214002987761,0.9404312930651967,4.8914243552439345,6,0.8152373925406557,0.22787123487783162,181
0,1,2,176,182,7,7,provisional,122.697021,2.6346220958422606,,178,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,122.56448509584226,0.532003359100433,3.5079247953739103,6,0.5846541325623184,0.2695390629355313,181
0,1,3,176,182,7,7,provisional,105.564636,4.116126582381725,,176;177;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,106.76298458238172,1.2138939003295477,2.0562171950994257,6,0.3427028658499043,0.27023544209828393,180
0,1,4,176,182,7,7,provisional,128.973633,0.8198540906325604,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,128.95866490936743,0.2491174465670868,5.8669654267915,6,0.9778275711319168,0.22118878333525366,181
0,1,5,176,182,7,7,provisional,118.267311,3.0479579600186923,,176;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,119.13353003998131,0.5888995768992686,8.612312218649269,6,1.4353853697748782,0.22698935339674794,181
0,1,6,176,182,7,7,provisional,125.943947,1.1696176286494335,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,126.14109862864943,0.23803301063476748,6.016634930439692,6,1.0027724884066154,0.2634380116912379,181
0,1,7,176,182,7,7,provisional,118.896744,3.831485022248941,,177;178;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,120.45079302224894,0.40934785560783554,23.14203257361919,6,3.8570054289365316,0.2354521338055418,180
0,1,8,176,182,7,7,provisional,126.762688,0.9699724965617662,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,126.63146349656176,0.1868527073660796,10.248167770006638,6,1.7080279616677732,0.2138753896187751,181
0,1,9,176,182,7,7,provisional,124.788292,1.0930503669307683,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,125.04639636693076,0.2000808690089851,9.967679180555368,6,1.6612798634258947,0.21272965221434695,181
0,1,10,176,182,7,7,provisional,133.812668,0.7800987970022959,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.8825617970023,0.2000231345698254,3.499106953451507,6,0.5831844922419178,0.2255203800952258,181
