rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
25,2,1,3,21,176,182,7,7,provisional,134.957108,2.6968619125411237,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.27933591254111,0.24378269808721573,55.85206401906549,6,9.308677336510915,0.2609173534251897,182
26,2,0,1,22,176,182,7,7,provisional,132.287277,2.60907695666333,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.62651795666332,0.20336485944424976,54.98364446875084,6,9.163940744791807,0.2135047982434853,182
27,2,0,6,27,176,182,7,7,provisional,129.886658,3.2635562171984844,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.56098821719849,0.2507762887952555,54.06083888932048,6,9.010139814886747,0.20472355153812538,182
28,2,0,1,31,176,182,7,7,provisional,133.342834,3.28004450798241,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.5411685079824,0.2697507272099627,53.65625953028456,6,8.942709921714092,0.2305687427743086,182
29,2,0,2,24,176,182,7,7,provisional,137.816605,2.581046076373866,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.26822607637388,0.20415202267608357,52.995359079481574,6,8.832559846580262,0.21627682797540834,181
30,2,1,3,22,176,182,7,7,provisional,133.621414,2.878619903284658,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.66241790328465,0.24578214628441344,51.84451292068037,6,8.640752153446728,0.23007380049274523,182
31,2,1,3,16,176,182,7,7,provisional,131.678329,2.336609848448518,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.01722784844853,0.21606747174546112,50.78692205358564,6,8.46448700893094,0.2181505226546213,182
32,2,0,6,30,176,182,7,7,provisional,131.262909,2.5579581207445017,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.5227918792555,0.23229782407506436,49.23476581740322,6,8.205794302900538,0.22981724528854372,182
33,2,1,3,17,176,182,7,7,provisional,131.838791,2.568544411830999,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.310197411831,0.23099309245014596,48.57411095176362,6,8.095685158627271,0.21918915410039888,182
34,2,0,1,23,176,182,7,7,provisional,132.975159,2.4313753135396894,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.19593231353969,0.19816167495198408,48.28087617835069,6,8.04681269639178,0.22374444346151873,181
35,2,0,1,19,176,182,7,7,provisional,129.811813,2.188481429007439,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.35052242900744,0.18684655347897833,47.59647362158888,6,7.932745603598146,0.21375018954041383,181
36,2,1,3,9,176,182,7,7,provisional,132.289307,3.377121750876597,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.7682047508766,0.24236152809922895,46.97650386738111,6,7.829417311230185,0.20180783633884317,181
37,2,0,5,28,176,182,7,7,provisional,133.680618,2.5478187700988144,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.05711177009883,0.21470191013025694,45.50508491520007,6,7.584180819200012,0.22016254820820286,181
38,2,0,4,28,176,182,7,7,provisional,138.25499,2.2199172071156283,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.44176520711562,0.21444504842269033,45.351239973721555,6,7.558539995620259,0.2205586466598223,181
39,2,0,4,24,176,182,7,7,provisional,139.344376,1.8129917967108327,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.31859179671082,0.18797458769267392,44.793586844747054,6,7.465597807457843,0.22064827935872955,182
40,2,0,1,28,176,182,7,7,provisional,133.498474,3.466365754867411,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.0247842451326,0.26588246464742643,44.71474944479033,6,7.452458240798388,0.20813626528529777,182
41,2,1,5,25,176,182,7,7,provisional,135.49295,2.875889086889316,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.76839791311068,0.26916130950322814,44.569231452773714,6,7.428205242128953,0.2415902216490959,182
42,2,1,3,18,176,182,7,7,provisional,133.486374,2.3511164557249344,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.08401145572495,0.23273769779798956,43.83363065924712,6,7.30560510987452,0.21979126675829846,181
43,2,1,6,22,176,182,7,7,provisional,135.391891,2.4248231896011987,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.9883611896012,0.23013833022516442,43.25140106636982,6,7.20856684439497,0.22902686230683267,182
44,2,0,2,25,176,182,7,7,provisional,133.474899,2.21057451868586,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.18211651868586,0.1963253328502921,42.95623849741493,6,7.159373082902488,0.22375501404734263,182
45,2,1,5,16,176,182,7,7,provisional,134.319321,2.528564923513983,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.98065107648603,0.2352125974778458,42.94611962917435,6,7.157686604862391,0.21305394922624576,181
46,2,0,2,27,176,182,7,7,provisional,135.227707,2.2267588791720527,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.95733812082796,0.20100838413862238,42.78998822042106,6,7.131664703403509,0.21562709683276743,181
47,2,0,2,19,176,182,7,7,provisional,134.911087,2.1131674938176275,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.08704449381761,0.19531439962588085,42.77675263985883,6,7.129458773309804,0.221874443592491,181
