rank,priority_tier,day,ew,pp,tt,mpv,mpv_error,auto_flag,reasons,leave_one_out_constant_shift,leave_one_out_pull,source,source_file,input_file,input_line,action
30,1,168,0,9,24,135.328506,0.286328,not_flagged,large_leave_one_out_pull,0.8722312915523673,6.51078869106108,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26313,inspect_spectrum_or_provenance; do_not_auto_reject
31,1,168,0,8,27,135.582779,0.312885,not_flagged,large_leave_one_out_pull,0.8554959037026322,6.128657196379217,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26285,inspect_spectrum_or_provenance; do_not_auto_reject
32,1,166,1,2,19,139.239517,0.64725,not_flagged,large_leave_one_out_pull,0.847248269274246,10.600012596195926,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24975,inspect_spectrum_or_provenance; do_not_auto_reject
33,1,168,0,12,23,137.62468,0.27995,not_flagged,large_leave_one_out_pull,0.811077749613645,6.034601534940611,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,26405,inspect_spectrum_or_provenance; do_not_auto_reject
34,1,166,0,10,29,132.878204,0.559636,not_flagged,large_leave_one_out_pull,0.7664984348080282,9.769546610023232,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24861,inspect_spectrum_or_provenance; do_not_auto_reject
35,1,166,0,5,1,125.519165,0.716612,not_flagged,large_leave_one_out_pull,0.6645604353318788,6.875955198156858,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24678,inspect_spectrum_or_provenance; do_not_auto_reject
36,1,166,0,11,30,131.036896,0.565348,not_flagged,large_leave_one_out_pull,0.6235946474679679,7.250995048755715,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24893,inspect_spectrum_or_provenance; do_not_auto_reject
37,1,166,0,3,30,129.815292,0.608869,not_flagged,large_leave_one_out_pull,0.6087704377516445,6.807946893466014,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24645,inspect_spectrum_or_provenance; do_not_auto_reject
38,1,166,0,11,31,128.888458,0.607037,not_flagged,large_leave_one_out_pull,0.6059874253953978,7.560825294910871,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24894,inspect_spectrum_or_provenance; do_not_auto_reject
39,1,162,0,6,23,137.370392,0.418176,not_flagged,large_leave_one_out_pull,0.596287997092702,6.745055256738162,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,21755,inspect_spectrum_or_provenance; do_not_auto_reject
40,1,166,0,9,29,129.859146,0.530936,not_flagged,large_leave_one_out_pull,0.5567776593174472,7.830721526797693,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24830,inspect_spectrum_or_provenance; do_not_auto_reject
41,1,163,1,3,6,130.474594,0.611967,not_flagged,large_leave_one_out_pull,0.5145640254712873,6.473318246129659,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,22761,inspect_spectrum_or_provenance; do_not_auto_reject
42,1,166,0,3,4,128.192551,0.488395,not_flagged,large_leave_one_out_pull,0.5085974062220373,6.430921297935355,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24619,inspect_spectrum_or_provenance; do_not_auto_reject
43,1,166,0,9,24,130.037811,0.513265,not_flagged,large_leave_one_out_pull,0.49768659217394884,7.897419094268498,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24825,inspect_spectrum_or_provenance; do_not_auto_reject
44,1,166,0,4,5,130.669983,0.445571,not_flagged,large_leave_one_out_pull,0.4969032277952863,7.008447676993195,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24651,inspect_spectrum_or_provenance; do_not_auto_reject
45,1,166,0,10,26,131.801117,0.572628,not_flagged,large_leave_one_out_pull,0.4483234597859109,6.3260934982120345,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24858,inspect_spectrum_or_provenance; do_not_auto_reject
46,1,166,0,3,8,126.939125,0.458108,not_flagged,large_leave_one_out_pull,0.4406464440356217,6.615958999616549,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24623,inspect_spectrum_or_provenance; do_not_auto_reject
47,1,166,1,2,20,141.561432,0.880816,not_flagged,large_leave_one_out_pull,0.4008890905408862,6.880504366824679,yuno,NmipConstantsDay162_168_changed.txt,/Users/dchenmac/dchen/service/Run23_live/EpdCalibration-apple/projects/2023_AuAu_200GeV/data/derived/daily_observations_primary.csv,24976,inspect_spectrum_or_provenance; do_not_auto_reject
