# storeTime GMT: 2023-07-02 04:49:35
# day ew pp tile mip offset
183 0 1 1 112.814122 0
183 0 1 2 123.779955 0
183 0 1 3 113.997937 0
183 0 1 4 131.087716 0
183 0 1 5 121.621048 0
183 0 1 6 128.191617 0
183 0 1 7 120.757749 0
183 0 1 8 128.398935 0
183 0 1 9 125.715397 0
183 0 1 10 136.029569 0
183 0 1 11 136.310881 0
183 0 1 12 138.026279 0
183 0 1 13 136.662313 0
183 0 1 14 137.01174 0
183 0 1 15 137.304131 0
183 0 1 16 135.856623 0
183 0 1 17 134.654256 0
183 0 1 18 136.444909 0
183 0 1 19 133.064562 0
183 0 1 20 135.728648 0
183 0 1 21 134.608364 0
183 0 1 22 135.477145 0
183 0 1 23 135.441391 0
183 0 1 24 134.329754 0
183 0 1 25 134.572357 0
183 0 1 26 135.757043 0
183 0 1 27 135.823475 0
183 0 1 28 135.237814 0
183 0 1 29 135.344771 0
183 0 1 30 133.872833 0
183 0 1 31 135.795952 0
183 0 2 1 137.357879 0
183 0 2 2 134.308009 0
183 0 2 3 134.815184 0
183 0 2 4 133.33791 0
183 0 2 5 134.462507 0
183 0 2 6 132.765659 0
183 0 2 7 132.431285 0
183 0 2 8 132.177541 0
183 0 2 9 132.467257 0
183 0 2 10 138.752734 0
183 0 2 11 139.503967 0
183 0 2 12 139.033674 0
183 0 2 13 139.756008 0
183 0 2 14 139.68238 0
183 0 2 15 139.58326 0
183 0 2 16 137.365788 0
183 0 2 17 138.58131 0
183 0 2 18 136.836883 0
183 0 2 19 136.669136 0
183 0 2 20 138.834915 0
183 0 2 21 136.383779 0
183 0 2 22 137.713533 0
183 0 2 23 137.573367 0
183 0 2 24 138.770844 0
183 0 2 25 135.707149 0
183 0 2 26 140.26809 0
183 0 2 27 136.902589 0
183 0 2 28 139.178332 0
183 0 2 29 134.060779 0
183 0 2 30 137.483316 0
183 0 2 31 135.206109 0
183 0 3 1 133.403407 0
183 0 3 2 130.242 0
183 0 3 3 131.874995 0
183 0 3 4 133.513601 0
183 0 3 5 132.411817 0
183 0 3 6 133.58581 0
183 0 3 7 130.536428 0
183 0 3 8 131.556456 0
183 0 3 9 131.858052 0
183 0 3 10 138.217608 0
183 0 3 11 141.510749 0
183 0 3 12 139.021696 0
183 0 3 13 138.191374 0
183 0 3 14 139.173536 0
183 0 3 15 138.867883 0
183 0 3 16 138.500993 0
183 0 3 17 140.380921 0
183 0 3 18 137.913385 0
183 0 3 19 137.828115 0
183 0 3 20 134.820797 0
183 0 3 21 137.815806 0
183 0 3 22 138.729954 0
183 0 3 23 138.072245 0
183 0 3 24 139.128046 0
183 0 3 25 139.535777 0
183 0 3 26 138.645654 0
183 0 3 27 140.11247 0
183 0 3 28 139.631722 0
183 0 3 29 137.167618 0
183 0 3 30 136.341033 0
183 0 3 31 136.894514 0
183 0 4 1 139.897583 0
183 0 4 2 132.967097 0
183 0 4 3 134.280988 0
183 0 4 4 133.893998 0
183 0 4 5 135.239347 0
183 0 4 6 134.050909 0
183 0 4 7 135.404439 0
183 0 4 8 134.659639 0
183 0 4 9 132.435017 0
183 0 4 10 140.162687 0
183 0 4 11 140.809907 0
183 0 4 12 142.040188 0
183 0 4 13 139.078003 0
183 0 4 14 142.861746 0
183 0 4 15 140.299191 0
183 0 4 16 139.619216 0
183 0 4 17 138.269102 0
183 0 4 18 139.627925 0
183 0 4 19 139.204979 0
183 0 4 20 138.516891 0
183 0 4 21 137.327044 0
183 0 4 22 138.91085 0
183 0 4 23 136.90388 0
183 0 4 24 140.534394 0
