# storeTime GMT: 2023-07-08 00:30:35
# day ew pp tile mip offset
188 0 1 1 113.812256 0
188 0 1 2 123.571243 0
188 0 1 3 116.589684 0
188 0 1 4 130.727295 0
188 0 1 5 122.038506 0
188 0 1 6 128.41835 0
188 0 1 7 120.605659 0
188 0 1 8 128.377426 0
188 0 1 9 125.711296 0
188 0 1 10 135.937607 0
188 0 1 11 136.040329 0
188 0 1 12 137.528076 0
188 0 1 13 136.689758 0
188 0 1 14 136.745895 0
188 0 1 15 137.307541 0
188 0 1 16 134.685944 0
188 0 1 17 134.592346 0
188 0 1 18 137.25148 0
188 0 1 19 132.4133 0
188 0 1 20 135.255829 0
188 0 1 21 135.09758 0
188 0 1 22 136.205765 0
188 0 1 23 136.352234 0
188 0 1 24 138.046646 0
188 0 1 25 137.358902 0
188 0 1 26 137.044937 0
188 0 1 27 139.755539 0
188 0 1 28 137.078995 0
188 0 1 29 135.628174 0
188 0 1 30 137.241791 0
188 0 1 31 138.920181 0
188 0 2 1 137.547409 0
188 0 2 2 134.836166 0
188 0 2 3 134.887314 0
188 0 2 4 132.843552 0
188 0 2 5 133.429382 0
188 0 2 6 132.934113 0
188 0 2 7 132.258484 0
188 0 2 8 132.319702 0
188 0 2 9 132.161636 0
188 0 2 10 138.194427 0
188 0 2 11 140.070465 0
188 0 2 12 139.102051 0
188 0 2 13 140.540695 0
188 0 2 14 140.080704 0
188 0 2 15 139.094879 0
188 0 2 16 139.118896 0
188 0 2 17 139.580536 0
188 0 2 18 137.155533 0
188 0 2 19 137.459549 0
188 0 2 20 139.416168 0
188 0 2 21 136.838745 0
188 0 2 22 138.55127 0
188 0 2 23 137.850861 0
188 0 2 24 138.976105 0
188 0 2 25 135.776459 0
188 0 2 26 139.766769 0
188 0 2 27 141.157669 0
188 0 2 28 138.673462 0
188 0 2 29 136.459686 0
188 0 2 30 136.880493 0
188 0 2 31 136.353836 0
188 0 3 1 133.901596 0
188 0 3 2 129.692673 0
188 0 3 3 130.849823 0
188 0 3 4 132.802353 0
188 0 3 5 132.902008 0
188 0 3 6 132.604324 0
188 0 3 7 129.428101 0
188 0 3 8 130.229904 0
188 0 3 9 132.331009 0
188 0 3 10 137.578659 0
188 0 3 11 141.19873 0
188 0 3 12 138.946014 0
188 0 3 13 138.974991 0
188 0 3 14 138.677078 0
188 0 3 15 138.336929 0
