# storeTime GMT: 2023-07-09 23:54:31
# day ew pp tile mip offset
190 0 1 1 106.72184466003962 0
190 0 1 2 121.8072142877392 0
190 0 1 3 105.69411593444524 0
190 0 1 4 127.94340788016335 0
190 0 1 5 119.47921514510708 0
190 0 1 6 124.98566046115403 0
190 0 1 7 119.37255589648429 0
190 0 1 8 125.31471955391402 0
190 0 1 9 124.32426111392859 0
190 0 1 10 132.43179634047843 0
190 0 1 11 131.8292671322456 0
190 0 1 12 134.13143893066515 0
190 0 1 13 132.7244796031863 0
190 0 1 14 133.16918062463697 0
190 0 1 15 133.45364769604737 0
190 0 1 16 130.7838997597323 0
190 0 1 17 130.28731819412263 0
190 0 1 18 133.0951225612738 0
190 0 1 19 129.1010345856699 0
190 0 1 20 131.5121516540511 0
190 0 1 21 130.86475730766048 0
190 0 1 22 131.37366645138732 0
190 0 1 23 131.90078590438287 0
190 0 1 24 130.1942066172865 0
190 0 1 25 130.50700253998178 0
190 0 1 26 132.01639155670216 0
190 0 1 27 132.49389880638265 0
190 0 1 28 132.33175894785674 0
190 0 1 29 132.15654750043797 0
190 0 1 30 130.98935410810216 0
190 0 1 31 132.25493778055036 0
190 0 2 1 135.67352383026608 0
190 0 2 2 131.39918065431013 0
190 0 2 3 132.19353494412493 0
190 0 2 4 130.3140854405504 0
190 0 2 5 131.72072902546105 0
190 0 2 6 130.6439604758981 0
190 0 2 7 130.18291189973354 0
190 0 2 8 130.02088801339292 0
190 0 2 9 131.00103230162173 0
190 0 2 10 135.39148041671382 0
190 0 2 11 137.3421055365934 0
190 0 2 12 136.18055084054936 0
190 0 2 13 136.7439109569319 0
190 0 2 14 137.36720947393025 0
190 0 2 15 136.9404852943071 0
190 0 2 16 134.74381072096625 0
190 0 2 17 135.32632443638855 0
190 0 2 18 133.72580704445872 0
190 0 2 19 133.02735469520388 0
190 0 2 20 136.24410024465374 0
190 0 2 21 133.96180865849266 0
190 0 2 22 135.67186948270628 0
190 0 2 23 134.47389286562256 0
190 0 2 24 136.819782441706 0
190 0 2 25 133.14881561550106 0
190 0 2 26 138.8824836959039 0
190 0 2 27 134.92587889111627 0
190 0 2 28 137.09783932483933 0
190 0 2 29 132.84643024910713 0
190 0 2 30 135.61074700243367 0
190 0 2 31 133.57858813753103 0
190 0 3 1 131.3683261589169 0
190 0 3 2 127.29199357992954 0
190 0 3 3 128.44389981517742 0
190 0 3 4 130.64513687363467 0
190 0 3 5 130.82102322139536 0
190 0 3 6 130.70823823374522 0
190 0 3 7 128.16810612691833 0
190 0 3 8 128.7660631178738 0
190 0 3 9 130.22416800372085 0
190 0 3 10 135.4291832537277 0
190 0 3 11 138.18014580649316 0
190 0 3 12 136.1086594476959 0
190 0 3 13 135.4256052559178 0
190 0 3 14 135.84523245914204 0
190 0 3 15 135.93182425453693 0
190 0 3 16 135.54225721792017 0
190 0 3 17 137.23760287786985 0
190 0 3 18 134.31110310278402 0
190 0 3 19 134.86847526637567 0
190 0 3 20 131.15031491635636 0
190 0 3 21 133.88661445838756 0
190 0 3 22 135.0524006532628 0
190 0 3 23 134.91188990490377 0
190 0 3 24 136.10017954276304 0
190 0 3 25 136.10057670103055 0
190 0 3 26 136.3940211763206 0
190 0 3 27 137.30570268769927 0
190 0 3 28 137.2008538054719 0
190 0 3 29 134.55711352983496 0
190 0 3 30 133.8754118967119 0
190 0 3 31 134.23354792639213 0
190 0 4 1 137.5823720731329 0
190 0 4 2 129.85871762676572 0
190 0 4 3 131.380139389109 0
190 0 4 4 130.7614620879743 0
190 0 4 5 133.2637333363975 0
190 0 4 6 131.39558097486636 0
190 0 4 7 132.76150567102684 0
190 0 4 8 132.51107887910285 0
190 0 4 9 129.88588872381595 0
190 0 4 10 137.01566661081924 0
190 0 4 11 138.64674145637508 0
190 0 4 12 138.496205149373 0
190 0 4 13 135.9374259175809 0
190 0 4 14 139.66309037160107 0
190 0 4 15 137.0418896343531 0
190 0 4 16 136.6013813278493 0
190 0 4 17 134.9946665908785 0
190 0 4 18 136.6112460038385 0
190 0 4 19 136.4756723803773 0
190 0 4 20 135.1352305130215 0
190 0 4 21 134.00821026405177 0
190 0 4 22 136.16971537691848 0
190 0 4 23 134.74711587322744 0
190 0 4 24 138.60473834537424 0
190 0 4 25 134.19375815562267 0
190 0 4 26 136.51078291814537 0
190 0 4 27 134.01356447932838 0
190 0 4 28 136.77452197192514 0
190 0 4 29 135.37789527935627 0
190 0 4 30 135.1868662684259 0
190 0 4 31 134.38344659313515 0
190 0 5 1 130.93139428918212 0
190 0 5 2 134.43364872207778 0
190 0 5 3 131.65285840194306 0
190 0 5 4 133.256833262 0
190 0 5 5 129.77568908458886 0
190 0 5 6 132.11625897094245 0
190 0 5 7 129.14697249138476 0
190 0 5 8 129.99523789329783 0
190 0 5 9 129.7614054165405 0
190 0 5 10 131.3264572022303 0
190 0 5 11 132.78738905931516 0
190 0 5 12 137.04118577844952 0
190 0 5 13 132.2471742371821 0
190 0 5 14 129.73318909441247 0
190 0 5 15 131.52286365736796 0
190 0 5 16 130.71572852212853 0
190 0 5 17 133.77301704124977 0
190 0 5 18 131.4882440876749 0
190 0 5 19 130.4556129109372 0
190 0 5 20 132.23022225811778 0
190 0 5 21 134.2850245012555 0
190 0 5 22 134.46759805051815 0
190 0 5 23 131.79041750276917 0
190 0 5 24 134.33310479289287 0
190 0 5 25 129.45114654897478 0
190 0 5 26 132.67452895806534 0
190 0 5 27 131.59174316290597 0
190 0 5 28 132.9222172978554 0
190 0 5 29 129.93327973336136 0
190 0 5 30 133.80525909605296 0
190 0 5 31 132.7762919433537 0
190 0 6 1 123.99578637156203 0
190 0 6 2 116.47281865964204 0
190 0 6 3 123.06984961330153 0
190 0 6 4 130.443463051951 0
190 0 6 5 123.05362548014728 0
190 0 6 6 130.44131119166425 0
190 0 6 7 131.23255520281666 0
190 0 6 8 130.80603465706318 0
190 0 6 9 129.3367601741744 0
190 0 6 10 132.6944307071536 0
190 0 6 11 133.72980102765237 0
190 0 6 12 134.57076324969583 0
190 0 6 13 135.21087293257156 0
190 0 6 14 134.81721951951428 0
190 0 6 15 137.9953082302829 0
190 0 6 16 134.61250035042826 0
190 0 6 17 135.57139265917297 0
190 0 6 18 134.2095624371652 0
190 0 6 19 131.19227632432683 0
190 0 6 20 135.72820841578314 0
190 0 6 21 133.84592200520515 0
190 0 6 22 138.32285270205074 0
190 0 6 23 134.0019083704623 0
190 0 6 24 133.47639210896867 0
190 0 6 25 133.5664462644681 0
190 0 6 26 133.2414354798845 0
190 0 6 27 129.31586208622684 0
190 0 6 28 135.51142034608156 0
190 0 6 29 131.57165781868014 0
190 0 6 30 130.256475536813 0
190 0 6 31 133.29088043353502 0
190 0 7 1 128.541047480112 0
190 0 7 2 128.0877390584628 0
190 0 7 3 128.16746898230224 0
190 0 7 4 130.134484470757 0
190 0 7 5 129.71650825899172 0
190 0 7 6 129.63131482352057 0
190 0 7 7 128.85998921482064 0
190 0 7 8 131.66148481894257 0
190 0 7 9 128.67947410793562 0
190 0 7 10 133.92884298175136 0
190 0 7 11 136.4893207127725 0
190 0 7 12 132.38163447633062 0
190 0 7 13 134.6728135558667 0
190 0 7 14 137.63568036706613 0
190 0 7 15 134.90972725972694 0
190 0 7 16 136.4723759288774 0
190 0 7 17 134.96628058281144 0
190 0 7 18 135.2162180369859 0
190 0 7 19 135.05901283261943 0
190 0 7 20 136.03065674567827 0
190 0 7 21 135.37719162062317 0
190 0 7 22 137.14118158375962 0
190 0 7 23 134.9465109672728 0
190 0 7 24 133.28005618889713 0
190 0 7 25 129.9482058854448 0
190 0 7 26 135.4095188237755 0
190 0 7 27 133.6196685700698 0
190 0 7 28 135.81666173795753 0
190 0 7 29 134.6706645145692 0
190 0 7 30 136.04867714736307 0
190 0 7 31 129.0154735767181 0
190 0 8 1 133.62251677240897 0
190 0 8 2 128.06251204622592 0
190 0 8 3 133.0795675229672 0
190 0 8 4 129.92874695373465 0
190 0 8 5 129.9841581529319 0
190 0 8 6 130.1349157342265 0
190 0 8 7 132.60730729066114 0
190 0 8 8 131.02926076917169 0
190 0 8 9 131.09921591979924 0
190 0 8 10 140.39964209817333 0
190 0 8 11 138.26479608056695 0
190 0 8 12 140.24870339010855 0
190 0 8 13 137.65759988701274 0
190 0 8 14 139.726029903814 0
190 0 8 15 139.2374384162526 0
190 0 8 16 140.1598640301997 0
190 0 8 17 137.18823212726525 0
190 0 8 18 138.02417849431495 0
190 0 8 19 135.41037801075905 0
190 0 8 20 138.4766725389959 0
190 0 8 21 136.5907363021555 0
190 0 8 22 139.817855776148 0
190 0 8 23 136.5133611045279 0
190 0 8 24 134.9830092942134 0
190 0 8 25 132.708480960833 0
190 0 8 26 134.06285294378307 0
190 0 8 27 133.23180587628227 0
190 0 8 28 131.81759024709066 0
190 0 8 29 133.73773100110262 0
190 0 8 30 134.16356183950168 0
190 0 8 31 130.20109086488702 0
190 0 9 1 133.7109767000841 0
190 0 9 2 130.38054363174174 0
190 0 9 3 130.4744530336608 0
190 0 9 4 129.70223934173922 0
190 0 9 5 130.54500590506925 0
190 0 9 6 128.16396947876564 0
190 0 9 7 131.27261766864308 0
190 0 9 8 127.48958330343028 0
190 0 9 9 130.9662760181532 0
190 0 9 10 134.294563555889 0
190 0 9 11 134.4665817618622 0
