# storeTime GMT: 2023-07-27 00:40:01
# day ew pp tile mip offset
207 0 1 1 134.87900654910598 0
207 0 1 2 137.57874595513246 0
207 0 1 3 133.68372836021175 0
207 0 1 4 136.9852772887616 0
207 0 1 5 137.96584740762282 0
207 0 1 6 132.90887232119815 0
207 0 1 7 132.38082692083975 0
207 0 1 8 131.09086228424934 0
207 0 1 9 132.10654132986906 0
207 0 1 10 138.1007628591085 0
207 0 1 11 138.14089579463075 0
207 0 1 12 139.4713528758499 0
207 0 1 13 139.55889711208283 0
207 0 1 14 139.0665185439617 0
207 0 1 15 140.51611837180633 0
207 0 1 16 134.5180491567775 0
207 0 1 17 136.9075887029079 0
207 0 1 18 136.92854907418686 0
207 0 1 19 134.66019367449894 0
207 0 1 20 135.84211298184283 0
207 0 1 21 137.81615399880647 0
207 0 1 22 135.64733620909368 0
207 0 1 23 136.79545898920173 0
207 0 1 24 140.66598341621534 0
207 0 1 25 139.85537436786353 0
207 0 1 26 140.17176633978457 0
207 0 1 27 139.9917340921178 0
207 0 1 28 141.00397936858172 0
207 0 1 29 141.49877622122116 0
207 0 1 30 136.93283342754043 0
207 0 1 31 143.42043117300761 0
207 0 2 1 142.15561148995212 0
207 0 2 2 137.4941080755639 0
207 0 2 3 138.88938749695768 0
207 0 2 4 134.8334082863671 0
207 0 2 5 136.01031477479 0
207 0 2 6 135.2624016848262 0
207 0 2 7 134.15043415164934 0
207 0 2 8 133.73164328248487 0
207 0 2 9 134.157874930842 0
207 0 2 10 138.2769619048553 0
207 0 2 11 141.27093750594292 0
207 0 2 12 138.84063097821243 0
207 0 2 13 139.24485221447608 0
207 0 2 14 140.5323232779727 0
207 0 2 15 138.945381155968 0
207 0 2 16 138.21619399205065 0
207 0 2 17 138.27011071025396 0
207 0 2 18 138.64152584541478 0
207 0 2 19 137.48175672519164 0
207 0 2 20 139.88938449670258 0
207 0 2 21 139.2994991737603 0
207 0 2 22 139.31451479296152 0
207 0 2 23 139.65121490297196 0
207 0 2 24 141.8107674062645 0
207 0 2 25 138.19566608637888 0
207 0 2 26 142.94360524990114 0
207 0 2 27 141.56376825328596 0
207 0 2 28 140.94958882994598 0
207 0 2 29 139.6825909808081 0
207 0 2 30 140.15052782491935 0
207 0 2 31 139.79584260668867 0
207 0 3 1 141.58434038177953 0
