# storeTime GMT: 2023-07-30 23:45:13
# day ew pp tile mip offset
211 0 1 1 136.282318 0
211 0 1 2 137.049973 0
211 0 1 3 135.004974 0
211 0 1 4 134.939453 0
211 0 1 5 137.222824 0
211 0 1 6 132.086639 0
211 0 1 7 130.06662 0
211 0 1 8 129.19397 0
211 0 1 9 130.330185 0
211 0 1 10 136.240799 0
211 0 1 11 137.084442 0
211 0 1 12 137.868225 0
211 0 1 13 137.885986 0
211 0 1 14 137.520737 0
211 0 1 15 139.383881 0
211 0 1 16 135.197968 0
211 0 1 17 136.52652 0
211 0 1 18 137.784561 0
211 0 1 19 134.337814 0
211 0 1 20 136.231628 0
211 0 1 21 138.287949 0
211 0 1 22 135.490707 0
211 0 1 23 136.884201 0
211 0 1 24 138.188034 0
211 0 1 25 138.866241 0
211 0 1 26 139.47496 0
211 0 1 27 139.446548 0
211 0 1 28 139.782516 0
211 0 1 29 140.29187 0
211 0 1 30 136.736084 0
211 0 1 31 143.142151 0
211 0 2 1 139.791275 0
211 0 2 2 136.789825 0
211 0 2 3 136.851471 0
211 0 2 4 134.783966 0
211 0 2 5 133.834671 0
211 0 2 6 133.419876 0
211 0 2 7 132.162186 0
211 0 2 8 132.059784 0
211 0 2 9 132.56189 0
211 0 2 10 136.439072 0
211 0 2 11 139.473602 0
211 0 2 12 136.607361 0
211 0 2 13 138.92041 0
211 0 2 14 138.575531 0
211 0 2 15 139.405151 0
211 0 2 16 139.585953 0
211 0 2 17 140.615143 0
211 0 2 18 140.505829 0
211 0 2 19 138.4505 0
211 0 2 20 140.428543 0
211 0 2 21 140.57637 0
211 0 2 22 140.770844 0
211 0 2 23 140.456894 0
211 0 2 24 139.592026 0
211 0 2 25 137.696655 0
211 0 2 26 141.80304 0
211 0 2 27 139.248749 0
211 0 2 28 140.736374 0
211 0 2 29 137.072922 0
211 0 2 30 138.602722 0
211 0 2 31 139.357269 0
211 0 3 1 139.799683 0
211 0 3 2 138.980927 0
211 0 3 3 138.119766 0
211 0 3 4 135.96965 0
211 0 3 5 135.273331 0
211 0 3 6 134.454926 0
211 0 3 7 132.016129 0
211 0 3 8 132.923843 0
211 0 3 9 133.638306 0
211 0 3 10 140.955978 0
211 0 3 11 141.057922 0
211 0 3 12 139.594559 0
211 0 3 13 137.391357 0
211 0 3 14 138.470642 0
211 0 3 15 136.481796 0
211 0 3 16 141.026169 0
211 0 3 17 140.203766 0
211 0 3 18 141.094574 0
211 0 3 19 139.873596 0
211 0 3 20 135.740677 0
211 0 3 21 139.780121 0
211 0 3 22 141.137573 0
211 0 3 23 139.99437 0
211 0 3 24 141.720917 0
211 0 3 25 141.162079 0
211 0 3 26 141.572769 0
211 0 3 27 143.174011 0
211 0 3 28 142.12355 0
211 0 3 29 139.153671 0
211 0 3 30 141.672577 0
211 0 3 31 140.024704 0
211 0 4 1 141.477371 0
211 0 4 2 135.66571 0
