# storeTime GMT: 2023-07-31 04:05:02
# day ew pp tile mip offset
212 0 1 1 118.670677 0
212 0 1 2 128.258408 0
212 0 1 3 117.488533 0
212 0 1 4 130.724747 0
212 0 1 5 128.217026 0
212 0 1 6 127.434242 0
212 0 1 7 124.947411 0
212 0 1 8 126.49794 0
212 0 1 9 127.17466 0
212 0 1 10 133.486633 0
212 0 1 11 133.99675 0
212 0 1 12 134.850037 0
212 0 1 13 134.091629 0
212 0 1 14 134.821823 0
212 0 1 15 136.12793 0
212 0 1 16 131.527283 0
212 0 1 17 132.371353 0
212 0 1 18 134.408417 0
212 0 1 19 130.434875 0
212 0 1 20 132.80751 0
212 0 1 21 133.141846 0
212 0 1 22 132.6996 0
212 0 1 23 133.811478 0
212 0 1 24 133.160583 0
212 0 1 25 133.518143 0
212 0 1 26 134.035675 0
212 0 1 27 134.720581 0
212 0 1 28 135.232758 0
212 0 1 29 135.564804 0
212 0 1 30 132.18837 0
212 0 1 31 135.56131 0
212 0 2 1 137.218674 0
212 0 2 2 133.09346 0
212 0 2 3 133.862045 0
212 0 2 4 131.670578 0
212 0 2 5 132.6772 0
212 0 2 6 131.506851 0
212 0 2 7 131.313522 0
212 0 2 8 130.332886 0
212 0 2 9 130.996552 0
212 0 2 10 135.425125 0
212 0 2 11 138.36496 0
212 0 2 12 136.975845 0
212 0 2 13 137.345551 0
212 0 2 14 137.275391 0
212 0 2 15 137.532272 0
212 0 2 16 135.750702 0
212 0 2 17 137.121536 0
212 0 2 18 135.722092 0
212 0 2 19 134.623962 0
212 0 2 20 137.278595 0
212 0 2 21 135.690201 0
212 0 2 22 136.965881 0
212 0 2 23 136.492249 0
212 0 2 24 137.895996 0
212 0 2 25 135.031052 0
212 0 2 26 140.1418 0
212 0 2 27 136.277359 0
212 0 2 28 137.64888 0
212 0 2 29 135.124039 0
212 0 2 30 136.817108 0
212 0 2 31 135.553894 0
212 0 3 1 134.925171 0
212 0 3 2 132.05304 0
212 0 3 3 131.516586 0
212 0 3 4 132.931747 0
212 0 3 5 131.488739 0
212 0 3 6 132.268677 0
212 0 3 7 129.498367 0
212 0 3 8 130.494171 0
212 0 3 9 131.104874 0
212 0 3 10 137.131088 0
212 0 3 11 138.953094 0
212 0 3 12 136.892685 0
212 0 3 13 136.052872 0
212 0 3 14 136.905365 0
212 0 3 15 136.315948 0
212 0 3 16 137.859314 0
212 0 3 17 138.917313 0
212 0 3 18 137.500351 0
212 0 3 19 137.265961 0
212 0 3 20 133.546021 0
212 0 3 21 136.220276 0
212 0 3 22 138.30986 0
212 0 3 23 137.022888 0
212 0 3 24 137.151459 0
212 0 3 25 137.991486 0
212 0 3 26 137.58844 0
212 0 3 27 139.718399 0
212 0 3 28 138.382492 0
212 0 3 29 135.622253 0
212 0 3 30 136.55632 0
212 0 3 31 136.393585 0
212 0 4 1 138.401581 0
212 0 4 2 131.66658 0
212 0 4 3 132.737656 0
212 0 4 4 131.427048 0
212 0 4 5 133.888596 0
212 0 4 6 132.067596 0
212 0 4 7 133.564255 0
212 0 4 8 132.655746 0
212 0 4 9 130.26944 0
212 0 4 10 136.927368 0
212 0 4 11 139.207916 0
212 0 4 12 138.883636 0
212 0 4 13 136.82251 0
212 0 4 14 140.416351 0
212 0 4 15 137.219894 0
212 0 4 16 138.046585 0
212 0 4 17 136.180908 0
212 0 4 18 137.445343 0
212 0 4 19 137.212296 0
212 0 4 20 135.431183 0
212 0 4 21 135.204117 0
212 0 4 22 137.704681 0
212 0 4 23 135.650467 0
212 0 4 24 138.595779 0
212 0 4 25 134.358017 0
212 0 4 26 136.489014 0
212 0 4 27 134.171829 0
212 0 4 28 136.79361 0
212 0 4 29 135.696304 0
212 0 4 30 135.694748 0
212 0 4 31 134.298874 0
212 0 5 1 132.932007 0
212 0 5 2 135.182709 0
212 0 5 3 133.107681 0
212 0 5 4 133.857147 0
212 0 5 5 131.244781 0
212 0 5 6 132.760635 0
212 0 5 7 130.243927 0
212 0 5 8 131.145325 0
212 0 5 9 131.082565 0
212 0 5 10 156.457962 0
212 0 5 11 162.36348 0
212 0 5 12 162.785461 0
212 0 5 13 160.351944 0
212 0 5 14 146.027802 0
212 0 5 15 161.902298 0
212 0 5 16 132.884506 0
212 0 5 17 137.168304 0
212 0 5 18 134.612747 0
212 0 5 19 133.27771 0
212 0 5 20 134.062988 0
212 0 5 21 136.847961 0
212 0 5 22 136.249924 0
212 0 5 23 135.191238 0
212 0 5 24 136.551666 0
212 0 5 25 134.47403 0
212 0 5 26 135.017395 0
212 0 5 27 134.168121 0
212 0 5 28 134.519287 0
212 0 5 29 132.21286 0
212 0 5 30 135.275848 0
212 0 5 31 135.37175 0
212 0 6 1 132.41748 0
212 0 6 2 127.747986 0
212 0 6 3 129.858017 0
212 0 6 4 134.110031 0
212 0 6 5 129.990417 0
212 0 6 6 132.354828 0
212 0 6 7 133.63205 0
212 0 6 8 131.695023 0
212 0 6 9 131.159027 0
212 0 6 10 160.036636 0
212 0 6 11 164.749527 0
212 0 6 12 139.4482464305283 0
212 0 6 13 141.56290445271387 0
212 0 6 14 139.88335117409295 0
212 0 6 15 141.93863434559364 0
212 0 6 16 137.129623 0
212 0 6 17 136.766388 0
212 0 6 18 136.39325 0
212 0 6 19 134.323654 0
212 0 6 20 137.831635 0
212 0 6 21 135.936172 0
212 0 6 22 140.31131 0
212 0 6 23 135.875 0
212 0 6 24 135.608109 0
212 0 6 25 134.851166 0
212 0 6 26 134.126297 0
212 0 6 27 133.814743 0
212 0 6 28 136.958908 0
212 0 6 29 134.009155 0
212 0 6 30 133.563309 0
212 0 6 31 134.536407 0
212 0 7 1 132.453873 0
212 0 7 2 131.604034 0
212 0 7 3 132.390167 0
212 0 7 4 131.514191 0
212 0 7 5 132.352448 0
212 0 7 6 130.969681 0
212 0 7 7 130.986435 0
212 0 7 8 132.676636 0
212 0 7 9 129.633774 0
212 0 7 10 137.60819334421808 0
212 0 7 11 143.00414053794395 0
212 0 7 12 136.20311322965105 0
212 0 7 13 142.31094086764472 0
212 0 7 14 141.99885929809966 0
212 0 7 15 140.39556348621397 0
212 0 7 16 137.247238 0
212 0 7 17 136.862305 0
212 0 7 18 137.23848 0
212 0 7 19 135.369965 0
212 0 7 20 136.343369 0
212 0 7 21 137.253571 0
212 0 7 22 137.688965 0
212 0 7 23 136.725967 0
212 0 7 24 134.924866 0
212 0 7 25 133.04277 0
212 0 7 26 135.760666 0
212 0 7 27 135.916183 0
212 0 7 28 136.931549 0
212 0 7 29 136.702011 0
212 0 7 30 137.73317 0
212 0 7 31 132.833984 0
212 0 8 1 135.631897 0
212 0 8 2 133.621231 0
212 0 8 3 134.997528 0
212 0 8 4 132.042679 0
212 0 8 5 132.80098 0
212 0 8 6 130.96553 0
212 0 8 7 134.476974 0
212 0 8 8 131.518265 0
212 0 8 9 131.908371 0
212 0 8 10 146.1976331537195 0
212 0 8 11 143.47411704799958 0
212 0 8 12 145.98937414264424 0
212 0 8 13 143.85339180184542 0
212 0 8 14 146.03122819692467 0
212 0 8 15 145.46594796667972 0
212 0 8 16 141.413422 0
212 0 8 17 137.500534 0
212 0 8 18 138.393723 0
212 0 8 19 136.519272 0
212 0 8 20 138.508087 0
212 0 8 21 137.118103 0
212 0 8 22 140.485138 0
212 0 8 23 136.852066 0
212 0 8 24 136.323151 0
212 0 8 25 135.285736 0
212 0 8 26 135.799927 0
212 0 8 27 134.833588 0
212 0 8 28 134.781281 0
212 0 8 29 135.327454 0
212 0 8 30 136.065552 0
212 0 8 31 133.262726 0
212 0 9 1 136.626587 0
212 0 9 2 134.957703 0
212 0 9 3 134.285706 0
212 0 9 4 133.42131 0
212 0 9 5 134.497589 0
212 0 9 6 131.319748 0
212 0 9 7 133.551788 0
212 0 9 8 130.105179 0
212 0 9 9 133.160202 0
212 0 9 10 141.65259776246478 0
212 0 9 11 143.63321692178408 0
212 0 9 12 143.93854389409486 0
212 0 9 13 142.50389501516074 0
212 0 9 14 146.28095957341196 0
212 0 9 15 142.5897014473831 0
212 0 9 16 137.77095 0
212 0 9 17 138.220627 0
212 0 9 18 138.949158 0
212 0 9 19 136.480988 0
212 0 9 20 138.359116 0
212 0 9 21 140.802139 0
212 0 9 22 140.631454 0
212 0 9 23 138.0784 0
212 0 9 24 135.129471 0
212 0 9 25 134.175278 0
212 0 9 26 136.116852 0
212 0 9 27 136.738815 0
212 0 9 28 136.401962 0
212 0 9 29 135.152985 0
212 0 9 30 138.98085 0
