# storeTime GMT: 2023-06-25 05:09:47
# day ew pp tile mip offset
176 0 1 1 108.04214002987761 0
176 0 1 2 122.56448509584226 0
176 0 1 3 106.76298458238172 0
176 0 1 4 128.95866490936743 0
176 0 1 5 119.13353003998131 0
176 0 1 6 126.14109862864943 0
176 0 1 7 120.45079302224894 0
176 0 1 8 126.63146349656176 0
176 0 1 9 125.04639636693076 0
176 0 1 10 133.8825617970023 0
176 0 1 11 132.9497738170319 0
176 0 1 12 134.7673262489831 0
176 0 1 13 134.250240965013 0
176 0 1 14 134.23434181692127 0
176 0 1 15 134.3106463381216 0
176 0 1 16 131.66781243267155 0
176 0 1 17 131.44541120255042 0
176 0 1 18 133.27709093449718 0
176 0 1 19 129.35052242900744 0
176 0 1 20 132.5280695903864 0
176 0 1 21 131.46338348346822 0
176 0 1 22 131.62651795666332 0
176 0 1 23 132.19593231353969 0
176 0 1 24 131.3239885264046 0
176 0 1 25 130.45704158190813 0
176 0 1 26 132.18413930616964 0
176 0 1 27 133.48172665789357 0
176 0 1 28 133.0247842451326 0
176 0 1 29 132.95529392497983 0
176 0 1 30 130.80168699767157 0
176 0 1 31 132.5411685079824 0
176 0 2 1 135.2147201935686 0
176 0 2 2 132.4085463669901 0
176 0 2 3 132.6741854770636 0
176 0 2 4 131.21187594764214 0
176 0 2 5 132.51044723266736 0
176 0 2 6 131.07374422667084 0
176 0 2 7 130.82079115726586 0
176 0 2 8 131.06117086226624 0
176 0 2 9 131.62326827257928 0
176 0 2 10 136.29479840336472 0
176 0 2 11 137.58835578135935 0
176 0 2 12 137.07355457504624 0
176 0 2 13 137.49905503152067 0
176 0 2 14 138.00868816050385 0
176 0 2 15 137.41669567549025 0
176 0 2 16 134.86727693378265 0
176 0 2 17 135.74278171110114 0
176 0 2 18 134.7886203428362 0
176 0 2 19 134.08704449381761 0
176 0 2 20 136.66966855302027 0
176 0 2 21 134.0734340373072 0
176 0 2 22 135.79324504786996 0
176 0 2 23 134.13985579009156 0
176 0 2 24 137.26822607637388 0
176 0 2 25 133.18211651868586 0
176 0 2 26 138.851162022743 0
176 0 2 27 134.95733812082796 0
176 0 2 28 137.8056168080739 0
176 0 2 29 132.41059831945628 0
176 0 2 30 135.86624433538012 0
176 0 2 31 133.2014141079371 0
176 0 3 1 131.51565202682562 0
176 0 3 2 128.22733916968122 0
176 0 3 3 129.22181878624468 0
176 0 3 4 131.75261563257683 0
176 0 3 5 131.38134911233922 0
176 0 3 6 132.13136426886442 0
176 0 3 7 128.89659583349055 0
176 0 3 8 130.13564661842761 0
176 0 3 9 130.86587870076787 0
176 0 3 10 137.14780467192085 0
176 0 3 11 139.19860117163415 0
176 0 3 12 137.27686478776093 0
176 0 3 13 136.01405084326723 0
176 0 3 14 136.95851758962527 0
176 0 3 15 136.35942212932366 0
176 0 3 16 137.17042963558944 0
176 0 3 17 137.6847620665332 0
176 0 3 18 135.15857657739426 0
176 0 3 19 135.97299611366174 0
176 0 3 20 132.4141684960473 0
176 0 3 21 135.3397659971744 0
176 0 3 22 136.2756619698727 0
176 0 3 23 135.7392612417134 0
176 0 3 24 136.0980727035423 0
176 0 3 25 136.78567234115476 0
176 0 3 26 136.58408862898298 0
176 0 3 27 138.22955239759833 0
176 0 3 28 137.25041143386125 0
176 0 3 29 134.68703519910332 0
176 0 3 30 133.83359428763106 0
176 0 3 31 134.17290470529318 0
176 0 4 1 138.2600329085911 0
176 0 4 2 130.26989778380064 0
176 0 4 3 132.3140721924417 0
176 0 4 4 131.87368184820448 0
176 0 4 5 134.12886447760275 0
176 0 4 6 131.6824844898116 0
176 0 4 7 133.9312073510657 0
176 0 4 8 133.30134709840584 0
176 0 4 9 130.64198265766464 0
176 0 4 10 138.2314318997213 0
176 0 4 11 138.60474622478304 0
176 0 4 12 139.15221071068856 0
176 0 4 13 136.21867901409237 0
176 0 4 14 140.50803020908336 0
176 0 4 15 137.94019312675127 0
176 0 4 16 137.48096116426646 0
176 0 4 17 136.21948257423884 0
176 0 4 18 137.85125739912738 0
176 0 4 19 137.2747255875244 0
176 0 4 20 136.5961719970493 0
176 0 4 21 135.15364335803216 0
176 0 4 22 136.5396922954993 0
176 0 4 23 135.19518412199537 0
176 0 4 24 139.31859179671082 0
176 0 4 25 135.04029915555478 0
176 0 4 26 136.88497152777225 0
176 0 4 27 134.6142654462345 0
176 0 4 28 137.44176520711562 0
176 0 4 29 135.1050380593338 0
176 0 4 30 136.12325767689012 0
176 0 4 31 134.7872444846735 0
176 0 5 1 131.52217262895627 0
176 0 5 2 134.73607470147144 0
176 0 5 3 132.50846013729566 0
176 0 5 4 133.78959207062823 0
176 0 5 5 130.51650986956741 0
176 0 5 6 133.23968116500328 0
176 0 5 7 129.65207090819555 0
176 0 5 8 131.10261753609018 0
176 0 5 9 130.82232588353492 0
176 0 5 10 130.79847151159746 0
176 0 5 11 134.1886937120062 0
176 0 5 12 137.57596851600786 0
176 0 5 13 132.01400416463804 0
176 0 5 14 129.3202410507106 0
176 0 5 15 132.4341173447073 0
176 0 5 16 131.37046105951416 0
176 0 5 17 134.79756262099468 0
176 0 5 18 132.231855355744 0
176 0 5 19 132.15035782188752 0
176 0 5 20 133.2142606605121 0
176 0 5 21 134.8033616023124 0
176 0 5 22 135.17283336730932 0
176 0 5 23 132.68112964730042 0
176 0 5 24 134.01747667706908 0
176 0 5 25 129.51978416999532 0
176 0 5 26 132.16872085886496 0
176 0 5 27 131.67623851016077 0
176 0 5 28 133.05711177009883 0
176 0 5 29 129.94287480377454 0
176 0 5 30 133.54126592334978 0
176 0 5 31 132.6467255254403 0
176 0 6 1 124.27633241858163 0
176 0 6 2 117.98840861816171 0
176 0 6 3 123.1507854227031 0
176 0 6 4 130.7256090664981 0
176 0 6 5 123.2983922127309 0
176 0 6 6 130.7552756347256 0
176 0 6 7 131.7272948296306 0
176 0 6 8 131.37596375410743 0
176 0 6 9 130.19844250999122 0
176 0 6 10 132.12372784883166 0
176 0 6 11 134.47689499212612 0
176 0 6 12 135.70034717662872 0
176 0 6 13 135.95658765583275 0
176 0 6 14 135.809711941752 0
176 0 6 15 139.247034794278 0
176 0 6 16 135.0283042140314 0
176 0 6 17 136.07502341321145 0
176 0 6 18 134.6543195595563 0
176 0 6 19 131.97036826978828 0
176 0 6 20 136.48002338822056 0
176 0 6 21 134.69595587715222 0
176 0 6 22 139.13496608784175 0
176 0 6 23 134.67044468906386 0
176 0 6 24 133.73034394811108 0
176 0 6 25 132.44747141056928 0
176 0 6 26 132.4576758840762 0
176 0 6 27 129.56098821719849 0
